country,date,new_cases,total_cases,new_deaths,total_deaths,new_cases_7_day_avg_right,new_deaths_7_day_avg_right,new_cases_per_million,new_deaths_per_million,total_cases_per_million,total_deaths_per_million,weekly_cases,weekly_deaths,weekly_pct_growth_cases,weekly_pct_growth_deaths,cfr,population,year,month,day_of_week,quarter,season,new_cases_per_100k,new_deaths_per_100k,cases_lag_7d,cases_lag_14d,cases_lag_21d,cases_ma_30d,disease,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million
Kazakhstan,2021-08-06,8182.0,681077.0,0.0,9909.0,7944.0,118.85714285714286,408.3932346680834,0.0,33995.01822146593,494.5940555275041,55608.0,832.0,10.8,54.400000000000006,1.4549015750054692,20592571.0,2021,8,4,3,summer,39.73277547519443,0.0,7171.714285714285,5596.857142857143,4351.285714285715,5528.438095238094,covid,,,
Kazakhstan,2021-08-07,8325.0,689402.0,0.0,9909.0,7990.428571428572,118.85714285714286,415.5308822551692,0.0,34410.5491037211,494.5940555275041,55933.0,832.0,8.7,54.400000000000006,1.4373326448139112,20592571.0,2021,8,5,3,summer,40.427200663773355,0.0,7350.857142857143,5731.428571428572,4717.285714285715,5700.047619047619,covid,,,
Kazakhstan,2021-08-08,8178.0,697580.0,0.0,9909.0,8004.714285714285,118.85714285714286,408.193580190123,0.0,34818.74268391122,494.5940555275041,56033.0,832.0,6.3,54.400000000000006,1.42048223859629,20592571.0,2021,8,6,3,summer,39.713350994395014,0.0,7527.285714285715,5906.571428571428,4975.0,5870.309523809524,covid,,,
Kazakhstan,2021-08-09,7747.0,705327.0,882.0,10791.0,8017.142857142857,244.8571428571429,386.6808101898854,44.023812390277385,35205.42349410111,538.6178679177815,56120.0,1714.0,4.6,,1.52992867138221,20592571.0,2021,8,0,3,summer,37.62036318825852,4.283098016270042,7661.428571428572,6103.428571428572,5175.571428571428,6039.128571428572,covid,,,
Kazakhstan,2021-08-10,7270.0,712597.0,0.0,10791.0,7980.428571428572,126.0,362.8720136931028,0.0,35568.29550779421,538.6178679177815,55863.0,882.0,2.8000000000000003,6.0,1.5143201557121346,20592571.0,2021,8,1,3,summer,35.303993852928805,0.0,7762.428571428572,6375.714285714285,5347.285714285715,6203.2,covid,,,
Kazakhstan,2021-08-11,8245.0,720842.0,0.0,10791.0,8016.857142857143,126.0,411.5377926959604,0.0,35979.83330049017,538.6178679177815,56118.0,882.0,1.9,6.0,1.4969993424356516,20592571.0,2021,8,2,3,summer,40.03871104778514,0.0,7868.285714285715,6639.0,5470.714285714285,6364.552380952382,covid,,,
Kazakhstan,2021-08-12,8174.0,729016.0,0.0,10791.0,8017.285714285715,126.0,407.99392571216254,0.0,36387.82722620234,538.6178679177815,56121.0,882.0,1.1,6.0,1.480214426020828,20592571.0,2021,8,3,3,summer,39.693926513595606,0.0,7929.714285714285,6924.571428571428,5513.714285714285,6520.752380952382,covid,,,
Kazakhstan,2021-08-13,8204.0,737220.0,0.0,10791.0,8020.428571428572,126.0,409.4913342968659,0.0,36797.3185604992,538.6178679177815,56143.0,882.0,1.0,6.0,1.4637421665174577,20592571.0,2021,8,4,3,summer,39.839610119591185,0.0,7944.0,7171.714285714285,5596.857142857143,6668.466666666668,covid,,,
Kazakhstan,2021-08-14,7918.0,745138.0,0.0,10791.0,7962.285714285715,126.0,395.2160391226943,0.0,37192.5345996219,538.6178679177815,55736.0,882.0,-0.4,6.0,1.4481881208581495,20592571.0,2021,8,5,3,summer,38.45075974243333,0.0,7990.428571428572,7350.857142857143,5731.428571428572,6801.7904761904765,covid,,,
Kazakhstan,2021-08-15,7788.0,752926.0,0.0,10791.0,7906.571428571428,126.0,388.72726858898,0.0,37581.26186821087,538.6178679177815,55346.0,882.0,-1.2,6.0,1.433208575610352,20592571.0,2021,8,6,3,summer,37.81946411645248,0.0,8004.714285714285,7527.285714285715,5906.571428571428,6920.3,covid,,,
